full_name,a,e,i,om,w,q,ad,per_y,data_arc,n_obs_used,H,first_obs,epoch
       (2016 CH29),1.958,0.6058,1.76,301.47,121.83,0.772,3.14,2.74,10,27,26.2,2016-02-03,2457423.5
       (2016 CJ29),1.381,0.2502,23.52,303.58,217.06,1.036,1.73,1.62,13,42,24,2016-02-04,2457424.5
       (2016 CK29),2.01,0.504,4.5,326.86,147.41,0.997,3.02,2.85,24,76,25.8,2016-02-04,2460200.5
       (2016 CL29),1.444,0.3803,19.91,134.05,302.44,0.895,1.99,1.74,9,138,24.6,2016-02-04,2460200.5
       (2016 CN29),2.192,0.6769,5.62,315.52,97.24,0.708,3.68,3.25,6,45,24.3,2016-02-04,2457425.5
       (2016 CO29),1.061,0.2439,2.86,123.4,114.48,0.802,1.32,1.09,32,72,25,2016-01-15,2460200.5
       (2016 CQ29),1.732,0.4241,17.21,129.96,330.96,0.998,2.47,2.28,5,22,25,2016-02-04,2460200.5
       (2016 CR29),2.497,0.5257,31.91,324.96,158,1.184,3.81,3.95,36,117,21.8,2016-02-03,2460200.5
       (2016 CS29),1.973,0.5547,13.96,173.96,39.39,0.879,3.07,2.77,2428,393,19.05,2016-02-03,2460200.5
       (2016 CT29),1.921,0.5346,9.02,124.79,307.17,0.894,2.95,2.66,7,30,24.7,2016-01-29,2457422.5
       (2016 CU29),2.007,0.511,7.35,320.87,202.69,0.981,3.03,2.84,6,86,26.7,2016-02-05,2460200.5
       (2016 CA30),1.184,0.252,3.44,137.91,282.51,0.886,1.48,1.29,8,26,27.5,2016-02-03,2460200.5
       (2016 CB30),2.046,0.4695,2.93,5.35,173.11,1.085,3.01,2.93,87,204,23.5,2016-02-04,2460200.5
       (2016 CC30),2.47,0.5809,35.36,138.87,2.39,1.035,3.9,3.88,1470,224,20.04,2016-02-04,2460200.5
       (2016 CD30),1.769,0.4966,5.86,131.92,313.91,0.891,2.65,2.35,6,32,27.8,2016-02-05,2457427.5
       (2016 CE30),1.361,0.089,8.72,339.67,53.86,1.24,1.48,1.59,990,65,21.71,2016-02-03,2460200.5
       (2016 CH30),0.9329,0.1785,0.49,346.26,270.16,0.766,1.1,0.901,21,38,28,2016-01-17,2460200.5
       (2016 CJ30),2.203,0.5243,0.44,170.61,345.23,1.048,3.36,3.27,74,113,24,2016-02-01,2460200.5
       (2016 CS30),1.342,0.2528,23.4,325.06,85.79,1.003,1.68,1.55,30,27,22.9,2016-02-03,2460200.5
       (2016 CT30),1.764,0.2788,29.03,306.13,179.81,1.272,2.26,2.34,2566,72,19.46,2016-02-04,2460200.5
       (2016 CU30),3.042,0.64,27.9,140.68,43.86,1.095,4.99,5.31,115,126,21.58,2016-02-05,2460200.5
       (2016 CV30),2.332,0.4871,34.57,139,5.39,1.196,3.47,3.56,24,204,20.96,2016-02-05,2460200.5
       (2016 CW30),1.472,0.4558,1,7.02,202.86,0.801,2.14,1.79,6,52,26.7,2016-02-05,2460200.5
       (2016 CX30),2.064,0.4837,2.83,271.26,272.57,1.066,3.06,2.96,39,43,24.6,2016-02-05,2460200.5
       (2016 CY30),2.17,0.6014,5.35,151.96,54.66,0.865,3.47,3.2,21,48,24.6,2016-02-05,2457426.5
       (2016 CZ30),1.076,0.2107,20.65,317.33,96.5,0.849,1.3,1.12,6,97,25.7,2016-02-06,2460200.5
       (2016 CB31),1.769,0.4608,1.23,90.71,96.5,0.954,2.58,2.35,2668,94,24.96,2016-02-03,2460200.5
       (2016 CD31),1.044,0.4544,0.46,240.5,12.68,0.57,1.52,1.07,6,61,26.9,2016-02-05,2460200.5
       (2016 CE31),1.038,0.2512,2.73,120.85,277.54,0.777,1.3,1.06,7,37,27.6,2016-02-06,2460200.5
       (2016 CF31),1.085,0.4788,15.16,146.66,211.17,0.566,1.6,1.13,2636,62,21.73,2015-02-18,2460200.5
       (2016 CJ31),1.958,0.5764,4.62,132.12,300.92,0.83,3.09,2.74,4,9,27.6,2016-02-01,2457421.5
       (2016 CK31),1.317,0.2886,6.86,139.61,41.8,0.937,1.7,1.51,3,67,27.1,2016-02-07,2460200.5
       (2016 CN31),1.878,0.5826,0.48,104.58,321.45,0.784,2.97,2.57,6,14,27.2,2016-01-31,2460200.5
       (2016 CW31),1.567,0.31,17.83,324.01,235.6,1.081,2.05,1.96,2399,109,21.5,2016-01-20,2460200.5
       (2016 CX31),1.617,0.2085,34.71,311.3,212.74,1.28,1.95,2.06,39,21,22.6,2016-02-05,2460200.5
       (2016 CY31),1.967,0.4387,4.84,164.62,13.99,1.104,2.83,2.76,84,76,24.2,2016-02-05,2460200.5
       (2016 CZ31),1.439,0.4883,14.58,309.54,76.05,0.736,2.14,1.73,2365,68,22.05,2016-02-05,2460200.5
       (2016 CA32),2.503,0.7458,19.75,100.99,327.58,0.636,4.37,3.96,1517,71,19.77,2016-02-05,2460200.5
       (2016 CB32),2.947,0.5995,2.63,174.92,245.16,1.18,4.71,5.06,3660,247,18.7,2011-03-12,2460200.5
       (2016 CC32),2.475,0.4993,9.85,35.18,138.63,1.239,3.71,3.89,1570,104,20.8,2016-02-06,2460200.5
       (2016 CD32),1.944,0.3483,18.61,127.06,351.25,1.267,2.62,2.71,23,16,23.2,2016-01-16,2460200.5
       (2016 CE32),1.186,0.3599,5.14,11.45,223.43,0.759,1.61,1.29,12,48,23.9,2016-02-06,2457427.5
       (2016 CF32),1.489,0.257,4.86,31.93,93.81,1.107,1.87,1.82,49,39,23.7,2016-02-06,2460200.5
       (2016 CH32),1.39,0.1777,23,320.88,176.76,1.143,1.64,1.64,12,53,23.9,2016-02-06,2457428.5
       (2016 CJ32),1.467,0.2695,16.11,141.53,317.74,1.071,1.86,1.78,23,58,23.7,2016-02-07,2460200.5
       (2016 CY135),1.475,0.3538,1.1,173.49,26.57,0.953,2,1.79,190,95,24.5,2016-01-31,2460200.5
       (2016 CZ135),1.252,0.4158,8.22,164.28,138.53,0.732,1.77,1.4,2886,156,20.6,2016-02-05,2460200.5
       (2016 CB136),2.236,0.4969,21.5,48.16,332.92,1.125,3.35,3.34,2614,45,18.7,2008-12-30,2460200.5
       (2016 CC136),0.9082,0.0917,12.06,319.75,356.22,0.825,0.99,0.866,3,83,28.8,2016-02-08,2460200.5
       (2016 CD136),2.469,0.6302,0.82,187.69,258.36,0.913,4.03,3.88,16,24,26,2016-01-31,2457424.5
       (2016 CJ136),1.067,0.3794,28.9,127.22,160.94,0.662,1.47,1.1,330,29,21.6,2016-01-29,2460200.5
       (2016 CK136),1.75,0.2948,7.69,128.51,41.7,1.234,2.27,2.31,27,17,23.26,2016-01-31,2460200.5
       (2016 CL136),0.7296,0.6223,21.53,316.42,23.53,0.276,1.18,0.623,2571,223,21.36,2016-02-06,2460200.5
       (2016 CB137),1.57,0.2418,18.23,319.84,248.98,1.19,1.95,1.97,35,31,22.7,2016-02-05,2460200.5
       (2016 CC137),1.471,0.2612,43.22,139.61,3.45,1.087,1.86,1.78,4,41,24.5,2016-02-08,2457427.5
       (2016 CD137),1.083,0.2337,4.55,137.89,94.42,0.83,1.34,1.13,10,110,26.1,2016-02-08,2460200.5
       (2016 CE137),1.721,0.3679,28.54,330.05,116.24,1.088,2.35,2.26,38,92,21.6,2016-02-08,2460200.5
       (2016 CF137),1.09,0.1001,2.45,132.54,301.54,0.981,1.2,1.14,102,50,25.66,2016-01-16,2460200.5
       (2016 CG137),1.216,0.2592,21.52,324.89,248.15,0.901,1.53,1.34,18,48,24.2,2016-02-09,2460200.5
       (2016 CH137),2.36,0.8118,8.1,316.24,79.47,0.444,4.28,3.63,4,71,25.8,2016-02-09,2460200.5
       (2016 CJ137),2.025,0.4974,8.52,143.37,321.09,1.018,3.03,2.88,21,22,25.1,2016-02-06,2457427.5
       (2016 CK137),1.173,0.3464,0.79,314.65,95.42,0.767,1.58,1.27,8,30,27.3,2016-02-05,2460200.5
       (2016 CL137),1.917,0.7106,0.76,151.93,251.23,0.555,3.28,2.65,6,47,25.8,2016-02-09,2457431.5
       (2016 CM137),2.066,0.553,3.2,307.56,145.71,0.924,3.21,2.97,8,51,25.8,2016-02-09,2460200.5
       (2016 CV137),1.869,0.4729,6.16,127.83,31.46,0.985,2.75,2.56,5,14,27.2,2016-02-06,2457427.5
       (2016 CW137),2.406,0.6538,37.68,133.03,316.26,0.833,3.98,3.73,1454,49,19.5,2016-02-06,2460200.5
       (2016 CX137),2.241,0.74,16.71,100.92,167.58,0.583,3.9,3.35,271,61,19.7,2016-02-08,2460200.5
       (2016 CY137),1.232,0.1678,29.1,139.45,339.72,1.026,1.44,1.37,4,36,26.5,2016-02-09,2460200.5
       (2016 CZ137),1.344,0.489,11.42,324.4,86.81,0.687,2,1.56,19,60,24.9,2016-02-09,2460200.5
       (2016 CA138),0.9988,0.049,27.73,328.91,326.86,0.95,1.05,0.998,2930,246,23.29,2016-02-09,2460200.5
       (2016 CB138),1.914,0.4656,2.96,139.83,12.3,1.023,2.81,2.65,90,271,23.63,2016-01-28,2460200.5
       (2016 CY192),1.534,0.3152,2.24,310.2,179.36,1.051,2.02,1.9,52,31,24,2016-02-09,2460200.5
       (2016 CZ192),0.8767,0.2631,16.74,144.43,206.08,0.646,1.11,0.821,17,50,24.6,2016-02-10,2460200.5
       (2016 CA193),1.128,0.0374,7.8,324.12,220.14,1.085,1.17,1.2,2204,83,24.87,2016-01-30,2460200.5
       (2016 CC193),2.39,0.5509,25.07,144.3,46.39,1.074,3.71,3.7,38,85,21.7,2016-02-09,2460200.5
       (2016 CU193),1.473,0.3561,49.88,322.38,323.11,0.948,2,1.79,964,85,20.04,2016-02-09,2460200.5
       (2016 CV193),1.376,0.2777,9.39,133.26,87.21,0.994,1.76,1.61,2890,101,22.57,2016-02-10,2460200.5
       (2016 CW193),2.478,0.6714,6.51,184.95,235.26,0.814,4.14,3.9,1344,97,21.7,2016-01-22,2460200.5
       (2016 CY193),1.948,0.4556,4.16,167.63,341.44,1.06,2.84,2.72,52,63,24.6,2016-02-10,2460200.5
       (2016 CZ193),1.604,0.4954,4.4,323.9,256.99,0.81,2.4,2.03,22,29,23.8,2016-02-10,2460200.5
       (2016 CA194),1.743,0.4181,5.06,145.47,349.1,1.014,2.47,2.3,6,22,27.2,2016-02-10,2457429.5
       (2016 CC194),1.547,0.2635,8.87,120.12,8.03,1.139,1.95,1.92,869,47,23.3,2016-01-04,2460200.5
       (2016 CD194),1.743,0.3916,24.07,321.76,208.83,1.061,2.43,2.3,15,33,23.8,2016-02-03,2460200.5
       (2016 CE194),1.951,0.5162,1.85,138.48,324.72,0.944,2.96,2.72,17,78,26.1,2016-02-11,2460200.5
       (2016 CF194),1.29,0.2042,1.64,114.96,101.32,1.026,1.55,1.46,153,164,24.18,2016-01-30,2460200.5
       (2016 CG194),1.719,0.3542,3.41,23.29,84.59,1.11,2.33,2.25,21,24,24.1,2016-02-10,2457430.5
       (2016 CM194),1.576,0.4564,7.29,323.5,235.08,0.856,2.29,1.98,1,117,27.7,2016-02-12,2460200.5
       (2016 CN194),1.555,0.3683,10.75,140.89,23.53,0.982,2.13,1.94,5,48,27,2016-02-12,2460200.5
       (2016 CJ195),1.603,0.3436,25.52,352.39,356.71,1.052,2.15,2.03,7997,66,19.23,2002-03-13,2460200.5
       (2016 CK195),1.333,0.3039,5.23,63.99,355.72,0.928,1.74,1.54,18,22,23.2,2016-02-10,2460200.5
       (2016 CL195),1.891,0.6266,0.94,333.82,79.04,0.706,3.08,2.6,29,44,23.83,2016-02-10,2460200.5
       (2016 CM195),1.204,0.2382,19.54,324.6,287.68,0.918,1.49,1.32,21,35,23.53,2016-02-09,2460200.5
       (2016 CN195),1.875,0.4124,1.75,19.15,120.81,1.102,2.65,2.57,23,24,25.6,2016-02-10,2460200.5
       (2016 CO195),1.382,0.2301,5.51,338.34,179.39,1.064,1.7,1.62,22,24,26.3,2016-02-11,2460200.5
       (2016 CP195),1.174,0.1963,24.57,324.01,236.59,0.943,1.4,1.27,4,30,26.5,2016-02-12,2457431.5
       (2016 CQ195),2.165,0.7061,28.41,333.41,324.86,0.636,3.69,3.19,1407,149,18.2,2016-02-10,2460200.5
       (2016 CS195),1.561,0.1757,20.45,341.85,102.53,1.287,1.84,1.95,26,23,21.7,2016-02-10,2460200.5
       (2016 CK246),3.973,0.7295,12.64,303.13,219.04,1.075,6.87,7.92,2926,210,21.74,2016-02-10,2460200.5
       (2016 CL246),1.436,0.4458,48.77,310.69,7.35,0.796,2.08,1.72,2591,50,19.63,2016-01-07,2460200.5
       (2016 CM246),1.943,0.7754,6.2,325.32,44.62,0.436,3.45,2.71,2917,36,20.55,2016-02-09,2460200.5
       (2016 CN246),1.514,0.1643,25.56,347.89,274.8,1.265,1.76,1.86,1706,71,21.1,2016-02-11,2460200.5
       (2016 CO246),0.9953,0.1261,6.29,136.37,120.7,0.87,1.12,0.993,1464,46,25.8,2016-02-12,2460200.5
       (2016 CP246),1.32,0.2221,9.85,313.6,170,1.027,1.61,1.52,13,20,26.1,2016-02-05,2460200.5
       (2016 CQ246),1.769,0.6125,4.7,340.82,243.29,0.685,2.85,2.35,2,26,25.3,2016-02-12,2460200.5
       (2016 CS246),2.213,0.4844,29.99,142.47,23.98,1.141,3.28,3.29,106,62,20,2016-02-12,2460200.5
       (2016 CT246),1.204,0.1832,36.99,319.61,120.37,0.983,1.42,1.32,21,56,22.95,2016-02-12,2457431.5
       (2016 CU246),0.8526,0.5428,2.06,330.98,35.8,0.39,1.32,0.787,3,42,26.5,2016-02-13,2460200.5
       (2016 CV246),1.051,0.1501,7.11,337.61,79.57,0.893,1.21,1.08,59,84,25.55,2016-02-13,2460200.5
       (2016 CW246),1.9,0.4563,0.75,43.36,87.67,1.033,2.77,2.62,26,27,25.67,2016-02-13,2460200.5
       (2016 CX246),2.412,0.5654,1.45,294.81,228.82,1.048,3.78,3.75,21,45,25.5,2016-02-13,2460200.5
       (2016 CN247),1.761,0.3081,8.15,258.33,260.97,1.219,2.3,2.34,2536,58,22.44,2016-02-12,2460200.5
       (2016 CO247),1.42,0.5133,18.35,292.2,90.31,0.691,2.15,1.69,3879,230,20.6,2010-07-24,2460200.5
       (2016 CP247),2.068,0.4414,5.74,180.98,336.12,1.155,2.98,2.97,1153,90,23.6,2016-02-12,2460200.5
       (2016 CQ247),1.283,0.5968,8.92,199.67,172.33,0.517,2.05,1.45,18,27,21.8,2016-02-12,2460200.5
       (2016 CR247),1.108,0.0916,14.17,359.28,57.91,1.006,1.21,1.17,2591,50,21.82,2016-02-11,2460200.5
       (2016 CS247),1.366,0.2761,1.69,334.04,149.28,0.989,1.74,1.6,46,140,25.66,2016-02-14,2460200.5
       (2016 CW247),1.714,0.5711,10.57,310.58,287.67,0.735,2.69,2.24,28,26,22.49,2016-01-29,2460200.5
       (2016 CX247),0.9572,0.4107,17.51,341.71,358.44,0.564,1.35,0.936,380,31,22.6,2016-02-10,2460200.5
       (2016 CY247),2.07,0.4541,11.96,335.02,149.81,1.13,3.01,2.98,1093,43,23.9,2016-02-12,2460200.5
       (2016 CZ247),1.035,0.3759,8.05,325.05,70.12,0.646,1.42,1.05,2,21,26.91,2016-02-15,2460200.5
       (2016 CA248),1.8,0.4754,2.67,148.05,317.51,0.944,2.66,2.41,2,21,27.7,2016-02-15,2457434.5
       (2016 CB248),1.126,0.3651,7.75,145.6,266.77,0.715,1.54,1.19,22,46,26.6,2016-02-15,2460200.5
       (2016 CD248),1.865,0.5726,13.46,359.16,55.33,0.797,2.93,2.55,16,23,22.2,2016-02-13,2457433.5
       (2016 CE248),1.747,0.4522,33.93,142.38,309.29,0.957,2.54,2.31,21,16,23.31,2016-02-10,2457434.5
       (2016 CJ248),2.633,0.5468,13.6,270.54,325.78,1.193,4.07,4.27,1441,121,19.4,2016-02-14,2460200.5
       (2016 CK248),1.377,0.377,2.43,318.08,256.45,0.858,1.9,1.62,4,37,26.8,2016-02-15,2460200.5
       (2016 CL248),2.465,0.4755,1.03,345.34,150.05,1.293,3.64,3.87,15,40,23.2,2016-02-15,2457441.5
       (2016 CM248),1.467,0.371,17.6,330.36,113.08,0.923,2.01,1.78,28,48,23.2,2016-02-15,2460200.5
       (2016 CN248),1.01,0.4197,3.01,139.22,117.34,0.586,1.43,1.02,4,21,27.3,2016-02-09,2460200.5
       (2016 CO248),0.9324,0.1601,4.77,139.82,240.31,0.783,1.08,0.9,28,30,27.5,2016-02-11,2460200.5
       (2016 CL264),1.648,0.5746,34.11,138.51,100.32,0.701,2.59,2.12,1684,268,19.29,2014-01-20,2460200.5
       (2016 CW264),2.02,0.7649,5.74,141.74,257.82,0.475,3.57,2.87,1,23,29.8,2016-02-11,2457430.5
       (2016 CX264),1.497,0.3002,13.04,40.76,284.43,1.048,1.95,1.83,2564,189,19.68,2016-02-11,2460200.5
       (2016 DB),0.8916,0.3247,2.89,145.97,233.28,0.602,1.18,0.842,1,35,28.5,2016-02-16,2460200.5
       (2016 DF),1.092,0.066,4.58,144.85,6,1.02,1.16,1.14,14,49,27.1,2016-02-16,2460200.5
       (2016 DG),1.562,0.3726,9.68,145.84,334.63,0.98,2.14,1.95,2,31,27.7,2016-02-16,2460200.5
       (2016 DH),1.035,0.0226,8.2,145.97,345.96,1.012,1.06,1.05,16,22,27.5,2016-02-11,2460200.5
       (2016 DJ),1.023,0.1608,4.35,336.8,71,0.859,1.19,1.04,51,85,25.6,2016-02-14,2460200.5
       (2016 DK),2.482,0.5811,32.81,152.32,353.93,1.04,3.92,3.91,14,54,22.4,2016-02-16,2457438.5
       (2016 DL),0.7143,0.4711,23.85,290.12,33.19,0.378,1.05,0.604,4398,79,21.34,2010-01-16,2460200.5
       (2016 DZ),2.245,0.5243,13.1,151.41,40.53,1.068,3.42,3.36,111,98,22.2,2016-02-09,2460200.5
       (2016 DB1),1.19,0.1893,12.92,337.61,138.57,0.965,1.42,1.3,8,86,26.5,2016-02-26,2460200.5
       (2016 DE1),1.662,0.6538,0.41,90.95,331.49,0.575,2.75,2.14,6,91,25.3,2016-02-26,2460200.5
       (2016 DF1),1.519,0.6636,1.58,132.45,276.07,0.511,2.53,1.87,11,68,24.36,2016-02-21,2457447.5
       (2016 DK1),1.363,0.3308,0.77,336.31,125.79,0.912,1.81,1.59,18,71,27.5,2016-02-27,2460200.5
       (2016 DL1),2.229,0.5616,1.49,337.64,203.89,0.977,3.48,3.33,5,107,26.8,2016-02-27,2460200.5
       (2016 DM1),1.669,0.5338,8.12,337.72,253.28,0.778,2.56,2.16,6,78,26.2,2016-02-26,2460200.5
       (2016 DT1),1.693,0.5002,30.53,154.39,262.85,0.846,2.54,2.2,6,54,21.7,2016-02-26,2457447.5
       (2016 DU1),2.055,0.5086,1.63,143.97,34.04,1.01,3.1,2.94,6,45,26.3,2016-02-27,2457447.5
       (2016 DV1),1.828,0.6287,3.36,161.68,80.37,0.679,2.98,2.47,1827,296,24.8,2016-02-28,2460200.5
       (2016 DW1),1.143,0.2004,13.57,337.56,252.87,0.914,1.37,1.22,5,61,25.9,2016-02-28,2460200.5
       (2016 DK2),2.406,0.7136,0.88,159.11,283.33,0.689,4.12,3.73,3,28,28.9,2016-02-27,2457446.5
       (2016 DL2),1.34,0.2271,12.22,340.29,205.53,1.035,1.64,1.55,14,67,25.1,2016-02-28,2460200.5
       (2016 DM2),1.955,0.4605,1.64,130.93,10.1,1.055,2.86,2.73,19,41,25.5,2016-02-28,2460200.5
       (2016 DN2),1.911,0.5009,4.28,161.61,31.75,0.954,2.87,2.64,7,55,26.9,2016-02-28,2460200.5
       (2016 DO2),1.564,0.5186,1.41,173.78,259.53,0.753,2.37,1.96,15,34,23.7,2016-02-19,2457447.5
       (2016 DP2),0.8582,0.2892,5.79,159.94,211.22,0.61,1.11,0.795,10,41,25.9,2016-02-28,2460200.5
       (2016 DQ2),1.295,0.4902,11.73,165.15,231.46,0.66,1.93,1.47,11,40,22.6,2016-02-28,2457450.5
       (2016 DR2),1.257,0.1389,5.03,156.15,334.21,1.082,1.43,1.41,7,13,25.6,2016-02-28,2457447.5
       (2016 DU21),1.676,0.3896,35.28,336.49,274,1.023,2.33,2.17,208,68,21.5,2016-02-28,2460200.5
       (2016 DV21),1.931,0.4292,14.4,158.87,63.45,1.102,2.76,2.68,2899,99,22.14,2016-02-28,2460200.5
       (2016 DW21),2.643,0.5957,15.53,133.15,94.11,1.069,4.22,4.3,130,71,21.3,2016-02-28,2460200.5
       (2016 DX21),1.238,0.1551,25.63,155.13,331.91,1.046,1.43,1.38,6,23,24.3,2016-02-29,2457449.5
       (2016 DY21),1.287,0.421,6.49,149.15,279.97,0.745,1.83,1.46,16,27,25.8,2016-02-29,2460200.5
       (2016 DZ21),1.302,0.1772,5.35,340.02,159.91,1.072,1.53,1.49,32,52,25.4,2016-02-29,2460200.5
       (2016 DX30),1.044,0.3484,4.18,328.85,68.9,0.68,1.41,1.07,6,29,26.5,2016-02-12,2460200.5
       (2016 DY30),1.118,0.5108,0.77,157.17,250.18,0.547,1.69,1.18,1,11,30.5,2016-02-26,2460200.5
       (2016 DA31),1.27,0.4498,0.02,339.45,268.03,0.699,1.84,1.43,1,14,29.9,2016-02-28,2457447.5
       (2016 ED),1.263,0.2679,28.99,162.62,299.6,0.925,1.6,1.42,13,149,23.7,2016-03-01,2460200.5
       (2016 EE),1.7,0.4744,2.17,185.94,280.55,0.893,2.51,2.22,15,34,25.5,2016-03-01,2457450.5
       (2016 EA1),1.69,0.3753,9.45,149.53,353.33,1.056,2.32,2.2,29,27,24.1,2016-03-01,2460200.5
       (2016 EB1),1.345,0.4462,11.11,346.46,263.53,0.745,1.94,1.56,10,69,25.3,2016-03-01,2460200.5
       (2016 EC1),2.116,0.5022,18.98,347.13,194.1,1.054,3.18,3.08,13,70,23,2016-03-01,2457449.5
       (2016 ED1),2.089,0.525,10.67,159.6,353.28,0.992,3.19,3.02,5,56,25.8,2016-03-01,2460200.5
       (2016 EE1),2.246,0.6394,7.5,151.96,309.89,0.81,3.68,3.37,13,46,24.5,2016-02-29,2457451.5
       (2016 EF1),1.351,0.3045,14.85,159.76,280.66,0.939,1.76,1.57,7,24,24.3,2016-02-28,2457451.5
       (2016 EG1),1.181,0.3167,14.72,344.55,257.53,0.807,1.55,1.28,2,19,29.1,2016-03-02,2460200.5
       (2016 EH1),0.8815,0.2405,13.98,153.74,231.19,0.67,1.09,0.828,1849,108,22.66,2016-02-24,2460200.5
       (2016 EK1),2.17,0.6689,6.58,343.2,252.3,0.718,3.62,3.2,1,33,29.1,2016-03-02,2460200.5
       (2016 EL1),1.789,0.6581,4.01,165.01,87.17,0.612,2.97,2.39,,27,27.8,2016-03-03,2460200.5
       (2016 EN1),1.439,0.1081,14.58,193.02,55.83,1.283,1.59,1.73,2633,95,21.41,2016-03-01,2460200.5
       (2016 EO1),2.659,0.5664,1.66,146.45,17.34,1.153,4.16,4.34,52,48,23.6,2016-02-05,2460200.5
       (2016 EP1),1.461,0.4441,10.64,359.74,89.91,0.812,2.11,1.77,42,206,22.26,2016-03-02,2460200.5
       (2016 EQ1),1.514,0.3414,0.4,327.52,236.44,0.997,2.03,1.86,19,75,26.3,2016-03-02,2460200.5
       (2016 ER1),2.138,0.6853,4.02,98.98,148.46,0.673,3.6,3.13,5,34,23.5,2016-03-02,2457451.5
       (2016 ES1),1.979,0.4631,11.49,358.65,153.6,1.062,2.89,2.78,29,72,24.2,2016-03-03,2460200.5
       (2016 ET1),1.081,0.1655,6.39,162.05,287.17,0.902,1.26,1.12,1,41,28.9,2016-03-03,2460200.5
       (2016 EV1),2.457,0.7147,5.14,190.82,246.82,0.701,4.21,3.85,21,30,23.9,2016-02-23,2460200.5
       (2016 EW1),1.038,0.2684,18.9,164.4,103.11,0.76,1.32,1.06,8,80,25.2,2016-03-03,2460200.5
       (2016 EZ26),2.436,0.5952,6.82,67.28,156.89,0.986,3.89,3.8,123,102,22.6,2016-02-14,2460200.5
       (2016 EA27),1.94,0.4518,32.28,160.19,73.96,1.064,2.82,2.7,184,90,20.72,2016-03-02,2460200.5
       (2016 EB27),0.8824,0.5352,34.65,343.71,320.21,0.41,1.35,0.829,10,75,22.9,2016-03-03,2457452.5
       (2016 EC27),1.953,0.3968,2.33,337.24,199.72,1.178,2.73,2.73,92,43,22.45,2016-01-28,2460200.5
       (2016 ED27),1.779,0.5252,14.43,353.1,87.69,0.845,2.71,2.37,2,17,23.9,2016-03-03,2457451.5
       (2016 EE27),2.757,0.7967,4.02,134.98,288.59,0.56,4.95,4.58,2,16,23.9,2016-03-03,2457451.5
       (2016 EF27),1.826,0.3835,8.53,138.85,60.08,1.126,2.53,2.47,88,43,23.3,2016-03-03,2460200.5
       (2016 EJ27),0.7522,0.4022,3.5,337.25,353.72,0.45,1.05,0.652,12,98,25.3,2016-03-03,2460200.5
       (2016 EK27),1.822,0.4732,7.1,212.03,31.18,0.96,2.68,2.46,2012,149,22.2,2016-03-03,2460200.5
       (2016 EL27),0.8781,0.2299,15.57,166.58,145.59,0.676,1.08,0.823,11,28,26.1,2016-03-03,2460200.5
       (2016 EM27),1.185,0.0811,25.9,159.68,51.91,1.089,1.28,1.29,156,30,23.4,2016-03-03,2460200.5
       (2016 EV27),2.689,0.648,8.88,188.87,44.38,0.946,4.43,4.41,40,218,23.4,2016-03-01,2460200.5
       (2016 EW27),1.789,0.3351,31.68,158.49,293.29,1.189,2.39,2.39,15,27,22.2,2016-03-02,2457451.5
       (2016 EX27),2.151,0.7432,11.67,237.14,38.08,0.552,3.75,3.16,1377,130,20.02,2016-02-09,2460200.5
       (2016 EY27),1.254,0.3701,23.69,321.04,353.59,0.79,1.72,1.4,2556,48,20.5,2016-02-14,2460200.5
       (2016 EZ27),1.415,0.5209,23.48,316.29,354.34,0.678,2.15,1.68,2917,73,19.5,2016-02-14,2460200.5
       (2016 EA28),1.67,0.2448,27.05,178.61,90.85,1.262,2.08,2.16,1976,33,20.48,2010-11-01,2460200.5
       (2016 EC28),1.204,0.2,6.36,328.22,266.28,0.963,1.44,1.32,200,27,24.9,2016-02-11,2460200.5
       (2016 ED28),2.425,0.5918,9.08,185.23,35.19,0.99,3.86,3.78,31,61,22.8,2016-03-04,2460200.5
       (2016 EE28),1.103,0.1258,5.97,341.7,126.82,0.964,1.24,1.16,13,25,26.93,2016-03-01,2460200.5
       (2016 EF28),1.87,0.657,5.16,143.91,292.1,0.642,3.1,2.56,1899,238,21.7,2016-02-27,2460200.5
       (2016 EG28),1.809,0.5709,8.11,344.47,112.32,0.776,2.84,2.43,11,45,27.9,2016-03-05,2460200.5
       (2016 EM28),2.637,0.5199,14.94,207.91,16.57,1.266,4.01,4.28,117,86,20.8,2016-02-12,2460200.5
       (2016 EO28),1.288,0.3058,2.43,159.42,305.58,0.894,1.68,1.46,14,45,29.2,2016-03-02,2460200.5
       (2016 ER28),1.33,0.1966,6.69,167.04,17.21,1.069,1.59,1.53,84,33,25,2016-02-12,2460200.5
       (2016 ES28),1.475,0.6593,24.95,176.26,233.84,0.502,2.45,1.79,12,27,22.5,2016-03-03,2457456.5
       (2016 ET28),2.721,0.5964,19.73,11.76,84.29,1.098,4.34,4.49,15,14,21.8,2016-03-03,2457452.5
       (2016 EU28),1.924,0.5648,5.71,173.74,51.86,0.837,3.01,2.67,5,28,25.96,2016-03-06,2457454.5
       (2016 EV28),1.946,0.7697,1.98,166.09,106.88,0.448,3.44,2.71,1,61,28.5,2016-03-07,2460200.5
       (2016 EG55),1.56,0.369,27.34,168.18,300.81,0.984,2.14,1.95,22,22,23.3,2016-03-06,2460200.5
       (2016 EH55),1.852,0.5558,1.1,162.8,291.16,0.823,2.88,2.52,4,17,24.6,2016-03-06,2457455.5
       (2016 EJ55),1.164,0.2508,7.2,344.19,102.98,0.872,1.46,1.26,21,67,24.6,2016-03-07,2460200.5
