Original Image,Saved as Stack,Stack Mean,Stack Median,Stack Standard Deviation,Stack Crop Start
14.fit,stack478,0.23533754217487274,0.23543958277475158,0.008399768091807756,"(815, 371)"
3.fit,stack479,0.23428888019437935,0.23436112724246505,0.008491756281120106,"(567, 119)"
60.fit,stack480,0.23545771022021794,0.23543958277475158,0.008986635686483696,"(121, 657)"
3.fit,stack481,0.24379541331555069,0.2439911539364191,0.008925182159482152,"(1185, 216)"
40.fit,stack482,0.23646464274940912,0.23651592194971724,0.008817577919706809,"(1104, 253)"
10.fit,stack483,0.2322777387599392,0.23219786241941595,0.008767788310999631,"(244, 709)"
44.fit,stack484,0.23477885405396554,0.234900619629511,0.008700969724109359,"(1110, 297)"
27.fit,stack485,0.23402352929185846,0.23409118253730107,0.008636667091235888,"(327, 581)"
4.fit,stack486,0.2460549523075639,0.24610797179541435,0.008444432331895586,"(890, 611)"
19.fit,stack487,0.23365345421150652,0.23355089601440596,0.008551152999092258,"(331, 257)"
26.fit,stack488,0.23445924456527406,0.23436112724246505,0.008685572944210171,"(899, 103)"
17.fit,stack489,0.2370672756374786,0.2370532982962721,0.00827284749950899,"(652, 607)"
27.fit,stack490,0.23499109371003365,0.234900619629511,0.0087426916552879,"(737, 10)"
32.fit,stack491,0.2356754165502263,0.23570886592878434,0.008765011945456248,"(1095, 290)"
12.fit,stack492,0.23235598610400435,0.23246873403753304,0.008601366810088551,"(334, 572)"
57.fit,stack493,0.2352166691987573,0.23517016734801388,0.008640461823383716,"(293, 515)"
7.fit,stack494,0.24373209210742297,0.24372596020307963,0.008405375225156435,"(534, 649)"
26.fit,stack495,0.2345339825187918,0.23463093960048179,0.009237249264712425,"(35, 11)"
18.fit,stack496,0.23677448240796353,0.2367846762094737,0.008451205397068276,"(531, 563)"
25.fit,stack497,0.2339158057288243,0.2338211054671326,0.00858532436868774,"(955, 572)"
60.fit,stack498,0.23466907372857393,0.23463093960048179,0.009147163304577603,"(1264, 607)"
30.fit,stack499,0.23601665021217888,0.23597801682947034,0.008459517476632556,"(716, 570)"
50.fit,stack500,0.23500492478726173,0.23517016734801388,0.008604307877110803,"(1014, 277)"
27.fit,stack501,0.23681735057159384,0.2367846762094737,0.008833364441816531,"(309, 62)"
3.fit,stack502,0.23136445039886497,0.231384452615149,0.00910889541539954,"(1230, 747)"
34.fit,stack503,0.234909349839312,0.234900619629511,0.008728204969981277,"(261, 570)"
36.fit,stack504,0.23513475542900736,0.23517016734801388,0.008868409823668018,"(1178, 377)"
46.fit,stack505,0.23423076126359943,0.23436112724246505,0.00872082475962445,"(229, 338)"
38.fit,stack506,0.2348569419339917,0.234900619629511,0.009043607306282153,"(1219, 320)"
7.fit,stack507,0.2341647616091064,0.23409118253730107,0.008548091148208066,"(708, 79)"
20.fit,stack508,0.23271045682120042,0.23273947318991758,0.008932412953185025,"(1207, 153)"
11.fit,stack509,0.23568242662390762,0.23570886592878434,0.008426454081550527,"(708, 581)"
28.fit,stack510,0.2355004923753886,0.23543958277475158,0.008582102878427405,"(911, 179)"
